date,year,title,content,status,thumbnail_file,image_files
2007-09-26 19:33:35,2007,"2007 ICT Triangle Forum (Day3, 4)",,publish,2007/09/Day3_04.jpg,2007/09/Day3_04.jpg|2007/09/Day4_05.jpg|2007/09/Day4_13.jpg|2007/09/Day4_15.jpg|2007/09/Day4_59.jpg
2007-09-26 19:31:27,2007,2007 ICT Triangle Forum (Day2),,publish,2007/09/Day2_14.jpg,2007/09/Day2_05.jpg|2007/09/Day2_07.jpg|2007/09/Day2_11.jpg|2007/09/Day2_14.jpg|2007/09/Day2_16.jpg|2007/09/Day2_18.jpg|2007/09/Day2_23.jpg|2007/09/Day2_27.jpg|2007/09/Day2_47.jpg
2007-09-26 19:27:39,2007,2007 ICT Triangle Forum (Day1),"2008 올림픽을 앞두고 있는 사회주의 국가 중국의 정치 문화 중심 도시이며, 중국의 과거와 미래가 공존하는 도시, 북경.

2007 International Conference on Broadband Network & Multimedia Technology (IC-BNMT 2007)과 
ICT Triangle Forum 2007이 9월 18일 부터 9월 20일까지 북경 우전대학(BUPT) High Tech Mansion에서 열렸습니다. 
",publish,2007/09/2007_9_25_1.jpg,2007/09/Day1_04.jpg|2007/09/Day1_07.jpg|2007/09/Day1_08.jpg|2007/09/Day1_12.jpg|2007/09/2007_9_25_1.jpg
2007-09-01 19:25:35,2007,2006 후기 졸업식,졸업을 축하합니다. ^-^,publish,2007/09/gCeremony2.jpg,2007/09/gCeremony1.jpg|2007/09/gCeremony2.jpg
2007-05-20 19:22:44,2007,2007 LIT Home comming,2007년 LIT Home comming 행사가 5월 19일 대전에서 있었습니다. ,publish,2007/05/070519_homme_comming_main.jpg,2007/05/070519_home-comming-small_01.jpg|2007/05/070519_home-comming-small_03.jpg|2007/05/070519_home-comming-small_05.jpg|2007/05/070519_home-comming-small_06.jpg|2007/05/070519_home-comming-small_07.jpg|2007/05/070519_home-comming-small_08.jpg|2007/05/070519_home-comming-small_09.jpg|2007/05/070519_home-comming-small_10.jpg|2007/05/070519_home-comming-small_11.jpg|2007/05/070519_home-comming-small_12.jpg|2007/05/070519_home-comming-small_13.jpg|2007/05/070519_home-comming-small_14.jpg|2007/05/070519_home-comming-small_15.jpg|2007/05/070519_home-comming-small_17.jpg|2007/05/070519_home-comming-small_18.jpg|2007/05/070519_home-comming-small_19.jpg|2007/05/070519_home-comming-small_20.jpg|2007/05/070519_homme_comming_main.jpg
2007-05-06 19:20:54,2007,2007 JCCI,2007년도 JCCI가 5월2일부터 5월4일까지 평창 휘닉스파크에서 있었습니다. ,publish,2007/05/DSC_0051.jpg,2007/05/DSC_0051.jpg|2007/05/DSC_0055.jpg|2007/05/DSC_0056.jpg|2007/05/DSC_0057.jpg|2007/05/DSC_0059.jpg
2007-03-26 19:19:22,2007,2007 WCNC (Hong Kong),냉무,publish,2007/03/IMG_0008.jpg,2007/03/IMG_0008.jpg|2007/03/IMG_0010.jpg
2007-03-23 19:17:57,2007,2007 전기 졸업식,"졸업 감사패를 전달하는 모습입니다.^^ 


2007년 2월 석사 졸업생 전기환님의 졸업식이 있었습니다. 
졸업을 축하합니다! ^0^ 
",publish,2007/03/IMG_0102.jpg,2007/03/IMG_0102.jpg
2007-01-30 19:16:28,2007,2007 생일파티,"형수랑 현국이오빠, 원재가 보이네요..(다들 뭔가를 들고..;;)ㅎㅎ 
다시 한번 1월에 생일을 맞으신 분들 축하합니다! 짝짝짝 ^0^ ",publish,2007/01/070129_1.jpg,2007/01/070129_1.jpg
2007-01-15 19:10:41,2007,2007 LIT 동계 워크샵 (무주 리조트),2007년 1월 12일 무주 리조트에서 랩 워크샵이 있었습니다. ^-^ ,publish,2007/01/DSC09353.jpg,2007/01/2-1.jpg|2007/01/2-2.jpg|2007/01/DSC09353.jpg
2006-12-22 19:07:34,2006,2006 송년회,"다음에는 졸업생들이 더 많이 오면 좋겠네요^^ 

수철이랑 소희는 준비하느라 수고 많았어~~~ 

다른 분들도 오랜만에 얼굴 봐서 너무 좋았습니다.
",publish,2006/12/2.jpg,2006/12/1.jpg|2006/12/2.jpg
2006-11-20 19:03:15,2006,2006 추계 통신학회 (11/18),"2006년 11월 18일. 

인하대학교에서 열린 추계 통신학회에 다녀왔습니다..",publish,2006/11/DSC09260.jpg,2006/11/DSC09260.jpg
2006-11-17 14:47:05,2006,2006 Asilomar,"기환이형과 함께..

해변가와 학회장에서..",publish,2006/11/DSC09147.jpg,2006/11/DSC09147.jpg|2006/11/DSC09155.jpg
2006-10-20 15:25:43,2006,2006 Conference,,publish,2006/10/VTC108.jpg,2006/10/VTC108.jpg|2006/10/VTC043.jpg
2006-09-05 15:24:34,2006,2006 김용준 결혼식,"지난 2월에 졸업한 용준이의 결혼식이 9월 16일 13시에 평촌 코아웨딩홀에서 있었습니다. 축하합니다. 아들, 딸 마니마니 낳고 행복하게 사세요.",publish,2006/09/02.jpg,2006/09/01.jpg|2006/09/02.jpg
2006-07-21 15:23:41,2006,2006 ITC-CSCC,ITC-CSCC 2006이 지난 7월 10일부터 7월 13일까지 태국 치앙마이에서 있었습니다.,publish,2006/07/060712_day4_04.jpg,2006/07/060712_day4_04.jpg
2006-06-26 15:22:34,2006,2006 ICC - Istanbul,,publish,2006/06/IMGP0133.jpg,2006/06/IMGP0133.jpg
2006-05-14 15:21:07,2006,2006 Home coming day,"우리 정보전송연구실에서는

스승의 날을 맞이하여 교수님의 가르침에 감사드리며,

재학생과 졸업생 간의 친목 도모를 위해

지난 5월 13일 모교 운동장에서 Home Coming Day 행사를 가졌습니다.",publish,2006/05/DSC_0070.jpg,2006/05/DSC_0070.jpg
2006-04-28 15:19:49,2006,2006 JCCI,제16회 통신정보합동학동학술대회(JCCI 2006)가 2006년 4월 26일(수) ~ 4월 28일(금) 일정으로 부산 (해운대) 파라다이스 호텔에서 개최 되었습니다.,publish,2006/04/JCCI2006_1.jpg,2006/04/JCCI2006_1.jpg|2006/04/JCCI2006_2.jpg
2006-04-17 15:18:50,2006,2006 봄맞이 산행,"2006년도 봄맞이 산행이 4월 15일 계룡산에서 있었습니다.

&nbsp;",publish,2006/04/06climbing.jpg,2006/04/06climbing.jpg
